Nora,NIN/DRG,DPS,0 1 21 22 23,0 1 18 19 20 21 22 23,0 1 18 19 20 21 22 23,0 1 18 19 20 21 22 23,0 1 18 19 20 21 22 23,0 1 18 19 20 21 22 23,0 1 18 19 20 21 22 23
Relic,WAR,Tank ,0 1 21 22 23,X,X,X,X,21 22 23,0 1 21 22 23
Budman,MCH,Healer DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Lynx,DRK,Tank DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 18 19 20 21 22 23,X,X,18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Enrei,PLD,All,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3,0 1 2 3,0 1 2 3,X,X
Vynith,PLD,Tank,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23
Remi(?),DRG,DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,X,X,X,X,X,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
COGDADDY,WAR/SMN/SCH,Tank,20 21 22 23,20 21 22 23,20 21 22 23,20 21 22 23,20 21 22 23,20 21 22 23,20 21 22 23
Sally,DRG,DPS,0 1 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,23,0 1 23,0 1 23,0 1 23
Hikouuu,MCH,Healer DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
